,Temperature,,,,,
1,100,,,,,
2,96,,,,,
3,92.2,,,,,
4,88.59,,,,,
5,85.1605,,,,,
6,81.902475,,,,,
7,78.80735125,,,,,
8,75.8669836875,,,,,
9,73.0736345031,,,,,
10,70.419952778,,,,,
11,67.8989551391,,,,,
12,65.5040073821,,,,,
13,63.228807013,,,,,
14,61.0673666624,,,,,
15,59.0139983292,,,,,
16,57.0632984128,,,,,
17,55.2101334921,,,,,
18,53.4496268175,,,,,
19,51.7771454767,,,,,
20,50.1882882028,,,,,
21,48.6788737927,,,,,
22,47.244930103,,,,,
23,45.8826835979,,,,,
24,44.588549418,,,,,
25,43.3591219471,,,,,
26,42.1911658497,,,,,
27,41.0816075573,,,,,
28,40.0275271794,,,,,
29,39.0261508204,,,,,
30,38.0748432794,,,,,
31,37.1711011154,,,,,
32,36.3125460597,,,,,
33,35.4969187567,,,,,
34,34.7220728188,,,,,
35,33.9859691779,,,,,
36,33.286670719,,,,,
37,32.6223371831,,,,,
38,31.9912203239,,,,,
39,31.3916593077,,,,,
40,30.8220763423,,,,,
41,30.2809725252,,,,,
42,29.7669238989,,,,,
43,29.278577704,,,,,
44,28.8146488188,,,,,
45,28.3739163779,,,,,
46,27.955220559,,,,,
47,27.557459531,,,,,
48,27.1795865545,,,,,
49,26.8206072267,,,,,
50,26.4795768654,,,,,
51,26.1555980221,,,,,
52,25.847818121,,,,,
53,25.555427215,,,,,
54,25.2776558542,,,,,
55,25.0137730615,,,,,
56,24.7630844084,,,,,
57,24.524930188,,,,,
58,24.2986836786,,,,,
59,24.0837494947,,,,,
60,23.87956202,,,,,
61,23.685583919,,,,,
62,23.501304723,,,,,
63,23.3262394869,,,,,
64,23.1599275125,,,,,
65,23.0019311369,,,,,
66,22.85183458,,,,,
67,22.709242851,,,,,
68,22.5737807085,,,,,
69,22.4450916731,,,,,
70,22.3228370894,,,,,
71,22.2066952349,,,,,
72,22.0963604732,,,,,
73,21.9915424495,,,,,
74,21.8919653271,,,,,
75,21.7973670607,,,,,
76,21.7074987077,,,,,
77,21.6221237723,,,,,